,NUMWEBPURCHASES
NUMWEBPURCHASES,1
TOTALPURSHASE,0.604217492
MNTWINES,0.293683011
NUMSTOREPURCHASES,0.251562642
MNTGOLDPRODS,0.181500982
NUMCATALOGPURCHASES,0.143921393
INCOME,0.139666638
KIDHOME,0.130621996
MNTSWEETPRODUCTS,0.122357226
MNTFISHPRODUCTS,0.089251841
MNTFRUITS,0.088920294
MNTMEATPRODUCTS,0.087215088
NUMDEALSPURCHASES,0.053782336
ACCEPTEDCMP4,0.024383452
ACCEPTEDCMP1,0.024323701
TEENHOME,0.023567394
RESPONSE,0.021904304
YEAR_BIRTH,0.021711209
ACCEPTEDCMP5,0.019413649
NUMWEBVISITSMONTH,0.00338001
ACCEPTEDCMP3,0.00183969
ACCEPTEDCMP2,0.001169262
ID,0.000463722
COMPLAIN,0.000269728
RECENCY,9.94E-05
Unnamed: 0,6.53E-05
